,feature,importance,indice
16,bvw,0.11697968628586547,16
5,phie,0.08829556372692658,5
10,sw,0.08723364891822838,10
9,phid,0.06337867199730671,9
3,m1r1,0.06161139292891333,3
8,vcl,0.058324394674756856,8
7,m1r2,0.05531875046298666,7
19,tvd,0.05301373650360725,19
12,m1r3,0.051884046220948936,12
1,depth,0.05176790896294656,1
13,m1r6,0.05026897007035182,13
4,dt,0.04792483831270182,4
14,m1r9,0.047451423881553316,14
6,cal,0.043839506132724866,6
15,m1rx,0.04176114553177711,15
20,grn,0.03536436576315389,20
11,gr,0.03172937365242082,11
18,ktix,0.013672432897449995,18
2,bit,0.00018014307537958312,2
17,k_corte,0.0,17
0,id,0.0,0
