,feature,importance,indice
9,sw,0.23647341540179573,9
8,phie,0.09407075231690534,8
10,bvw,0.0824727227576241,10
7,vcl,0.08207150970341918,7
6,grn,0.06380974646825402,6
12,ktix,0.04770447263920765,12
13,tvd,0.04654214317512829,13
1,depth,0.04550383304886516,1
5,sphi,0.044899729255535994,5
23,devi_2,0.0409085590292012,23
2,ao30,0.03636869271996145,2
3,ao90,0.03191815796586506,3
4,cali,0.029953591905033567,4
15,ktim,0.023255791580556108,15
16,t2lm,0.022944670675566353,16
20,c2,0.022724068663288365,20
19,c1,0.020300466324651947,19
14,cmrp_3ms,0.016876060653700266,14
18,gas,0.004292947413800459,18
17,marga,0.004051067104659259,17
22,dpaz,0.0014979139979461999,22
21,c3,0.0013596871990341286,21
11,k_corte,0.0,11
0,id,0.0,0
