,feature,importance,indice
16,bvw,0.115760868947903,16
5,phie,0.0839287481925038,5
10,sw,0.07678339646402071,10
3,m1r1,0.06836027458983031,3
8,vcl,0.06775978639708603,8
9,phid,0.06429974068940239,9
7,m1r2,0.0561459412467772,7
12,m1r3,0.052950554712602384,12
1,depth,0.05187857069837016,1
19,tvd,0.050904109384523874,19
4,dt,0.05037686425189284,4
14,m1r9,0.050129650843425015,14
6,cal,0.04488761256921187,6
13,m1r6,0.04462594473077936,13
15,m1rx,0.03916431972570159,15
20,grn,0.03671275039708411,20
11,gr,0.034754977561731175,11
18,ktix,0.010437645445078808,18
2,bit,0.00013824315207513598,2
17,k_corte,0.0,17
0,id,0.0,0
